date,course,race_id,off,race_name,class,pattern,age_band,dist_m,going,surface,ran,num,pos,draw,ovr_btn,horse_id,horse,age,sex,lbs,hg,secs,dec,jockey_id,jockey,trainer_id,trainer,or,rpr,sire_id,sire,dam_id,dam,damsire_id,damsire
2023-01-04,Happy Valley (HK),830224,12:45,Mut Wah Handicap (Div I)  (3yo+) (Course A) (Turf),Class 4,,3yo+,1200.0,Good,Turf,12,7,1,9,0,4305420,King Eccellente (AUS),4,G,126,hp,70.55,6.05,88634,Karis Teetan,36353,Douglas Whyte,50,61,577888,Exceed And Excel (AUS),798459,Caiguna (AUS),540336,Dubai Destination
2023-01-04,Happy Valley (HK),830224,12:45,Mut Wah Handicap (Div I)  (3yo+) (Course A) (Turf),Class 4,,3yo+,1200.0,Good,Turf,12,8,2,6,0.2,4735667,Righteous Arion (AUS),3,G,126,ht,70.59,33.00,98196,L J Ferraris,12767,A S Cruz,50,60,868881,Rich Enuff (AUS),4735666,Tranquil Harmony (AUS),761072,Dream Ahead
2023-01-04,Happy Valley (HK),830224,12:45,Mut Wah Handicap (Div I)  (3yo+) (Course A) (Turf),Class 4,,3yo+,1200.0,Good,Turf,12,10,3,10,.5,4292091,Glory Bo Bo (AUS),3,G,120,tb,70.65,6.00,95725,Matthew Poon,16058,C S Shum,46,55,872464,Deep Field (AUS),1028291,Balancing Act (AUS),619619,Not A Single Doubt
2023-01-04,Happy Valley (HK),830224,12:45,Mut Wah Handicap (Div I)  (3yo+) (Course A) (Turf),Class 4,,3yo+,1200.0,Good,Turf,12,5,4,4,.5,4804239,June Planet (AUS),4,G,128,,70.65,6.80,90687,C Y Ho,16095,C Fownes,52,61,619619,Not A Single Doubt (AUS),1326469,Spy Catcher (AUS),529740,Tobougg
2023-01-04,Happy Valley (HK),830224,12:45,Mut Wah Handicap (Div I)  (3yo+) (Course A) (Turf),Class 4,,3yo+,1200.0,Good,Turf,12,2,5,2,1.25,4001794,Beauty Mission (AUS),5,G,132,tp,70.80,3.50,79529,Hugh Bowman,33689,F C Lor,56,62,764856,Pluck (USA),901767,Mollycat (AUS),510505,Catbird
2023-01-04,Happy Valley (HK),830224,12:45,Mut Wah Handicap (Div I)  (3yo+) (Course A) (Turf),Class 4,,3yo+,1200.0,Good,Turf,12,12,6,1,2,4292095,Young Horizon (AUS),4,G,119,,70.95,29.00,88300,M L Yeung,3550,David A Hayes,43,47,751815,Star Witness (AUS),880895,Shalimar Sky (AUS),528560,Hurricane Sky
2023-01-04,Happy Valley (HK),830224,12:45,Mut Wah Handicap (Div I)  (3yo+) (Course A) (Turf),Class 4,,3yo+,1200.0,Good,Turf,12,1,7,11,2.5,4678648,Act Of Faith (AUS),4,G,135,,71.05,3.70,82339,Zac Purton,12739,J Size,59,61,887517,Press Statement (AUS),2615791,Encrypted (AUS),532968,Hussonet
2023-01-04,Happy Valley (HK),830224,12:45,Mut Wah Handicap (Div I)  (3yo+) (Course A) (Turf),Class 4,,3yo+,1200.0,Good,Turf,12,3,8,5,2.75,3239157,Commanding Missile (AUS),5,G,130,htb,71.10,38.00,88642,Antoine Hamelin,35043,Jamie Richards,54,55,780035,Smart Missile (AUS),897611,Ocean Tempest (AUS),558804,Bel Esprit
2023-01-04,Happy Valley (HK),830224,12:45,Mut Wah Handicap (Div I)  (3yo+) (Course A) (Turf),Class 4,,3yo+,1200.0,Good,Turf,12,9,9,8,3.25,4664748,Super Joy (AUS),4,G,123,e/s,71.20,161.00,88536,K C Leung,12760,L Ho,47,48,592483,Starcraft (NZ),4664747,Hannah Jane (AUS),96075,Anabaa
2023-01-04,Happy Valley (HK),830224,12:45,Mut Wah Handicap (Div I)  (3yo+) (Course A) (Turf),Class 4,,3yo+,1200.0,Good,Turf,12,11,10,7,3.5,4249732,M M Nebula (AUS),4,G,121,t,71.25,15.00,83746,Silvestre De Sousa,12787,K L Man,45,45,753334,Hinchinbrook (AUS),783656,Skyerush (AUS),728187,Super Jet
2023-01-04,Happy Valley (HK),830224,12:45,Mut Wah Handicap (Div I)  (3yo+) (Course A) (Turf),Class 4,,3yo+,1200.0,Good,Turf,12,4,11,12,4.75,2098664,Hercules (AUS),7,G,130,tb,71.50,62.00,95383,L Hewitson,15856,C H Yip,54,50,561466,Medaglia dOro (USA),2098663,Soul Mama (AUS),596529,Charge Forward
2023-01-04,Happy Valley (HK),830224,12:45,Mut Wah Handicap (Div I)  (3yo+) (Course A) (Turf),Class 4,,3yo+,1200.0,Good,Turf,12,6,12,3,12.25,4707431,Plenty Plenty (AUS),4,G,126,,73.00,140.00,99123,Jerry Chau,30441,T P Yung,52,24,771328,Real Impact (JPN),4707430,I Love Friday (AUS),546212,High Chaparral
2023-01-04,Happy Valley (HK),830225,1:15,Mut Wah Handicap (Div II)  (3yo+) (Course A) (Turf),Class 4,,3yo+,1200.0,Good,Turf,12,5,1,6,0,4763515,Top Top Tea (NZ),4,G,128,,70.09,18.20,88999,Ruan Maia,15856,C H Yip,52,64,790342,Wrote (IRE),4763514,Peggy Hookham (NZ),487905,Joyeux Danseur
2023-01-04,Happy Valley (HK),830225,1:15,Mut Wah Handicap (Div II)  (3yo+) (Course A) (Turf),Class 4,,3yo+,1200.0,Good,Turf,12,11,2,8,0.1,3347615,Fortune Carrier (AUS),5,G,119,tb,70.11,24.00,95725,Matthew Poon,16058,C S Shum,45,56,819159,Your Song (AUS),781996,Princess Carnegie (AUS),92036,Carnegie
2023-01-04,Happy Valley (HK),830225,1:15,Mut Wah Handicap (Div II)  (3yo+) (Course A) (Turf),Class 4,,3yo+,1200.0,Good,Turf,12,6,3,10,.75,4299473,Yellowfin (AUS),4,G,128,t,70.24,5.10,90687,C Y Ho,12762,K W Lui,52,61,864563,Territories (IRE),688211,Clearly Foxy (USA),551511,Volponi
2023-01-04,Happy Valley (HK),830225,1:15,Mut Wah Handicap (Div II)  (3yo+) (Course A) (Turf),Class 4,,3yo+,1200.0,Good,Turf,12,12,4,5,1.75,3564038,Hearty Wish (NZ),5,G,119,t,70.44,12.00,88634,Karis Teetan,36353,Douglas Whyte,43,49,869262,Sweynesse (AUS),3564037,Klairevoyant (AUS),510321,Flying Spur
2023-01-04,Happy Valley (HK),830225,1:15,Mut Wah Handicap (Div II)  (3yo+) (Course A) (Turf),Class 4,,3yo+,1200.0,Good,Turf,12,9,5,2,2.25,3425660,E Brother (AUS),5,G,124,tb,70.54,2.20,83746,Silvestre De Sousa,12787,K L Man,48,52,751815,Star Witness (AUS),894610,Face Forward (AUS),596529,Charge Forward
2023-01-04,Happy Valley (HK),830225,1:15,Mut Wah Handicap (Div II)  (3yo+) (Course A) (Turf),Class 4,,3yo+,1200.0,Good,Turf,12,10,6,7,2.5,2953195,Colonel (NZ),6,G,121,v,70.60,21.00,91255,V Borges,13936,P F Yiu,45,49,830777,Ferlax (NZ),2785853,Outrageous Fortune (NZ),63261,Volksraad
